Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/25/2023 20:35:00,0.0069,0.0000,0.0116,0.0000,0.1224,0.0000,0.0000
01/25/2023 20:36:00,0.0070,0.0000,0.0116,0.0000,0.1214,0.0000,0.0000
01/25/2023 20:37:00,0.0069,0.0000,0.0115,0.0000,0.1277,0.0000,0.0000
01/25/2023 20:38:00,0.0071,0.0000,0.0118,0.0000,0.1276,0.0000,0.0000
01/25/2023 20:39:00,0.0071,0.0000,0.0116,0.0000,0.1302,0.0000,0.0000
01/25/2023 20:40:00,0.0069,0.0000,0.0115,0.0000,0.1692,0.0000,0.0000
01/25/2023 20:41:00,0.0069,0.0000,0.0115,0.0000,0.2361,0.0000,0.0000
01/25/2023 20:42:00,0.0072,0.0000,0.0117,0.1212,0.2318,0.0000,0.0000
01/25/2023 20:43:00,0.0072,0.0000,0.0118,0.1344,0.2276,0.0000,0.0000
01/25/2023 20:44:00,0.0072,0.0000,0.0118,0.1317,0.2271,0.0000,0.0000
01/25/2023 20:45:00,0.0070,0.0000,0.0117,0.1304,0.2266,0.0000,0.0000
01/25/2023 20:46:00,0.0069,0.0000,0.0117,0.1304,0.2295,0.0000,0.0000
01/25/2023 20:47:00,0.0070,0.0000,0.0117,0.1301,0.2284,0.0000,0.0000
01/25/2023 20:48:00,0.0071,0.0000,0.0117,0.1295,0.2277,0.0000,0.0000
01/25/2023 20:49:00,0.0071,0.0000,0.0117,0.1291,0.2308,0.0000,0.0000
01/25/2023 20:50:00,0.0071,0.0000,0.0117,0.1286,0.2271,0.0000,0.0000
01/25/2023 20:51:00,0.0072,0.0000,0.0117,0.1284,0.2163,0.0000,0.0000
01/25/2023 20:52:00,0.0072,0.0000,0.0117,0.1280,0.2163,0.0000,0.0000
01/25/2023 20:53:00,0.0072,0.0000,0.0117,0.1276,0.2175,0.0000,0.0000
01/25/2023 20:54:00,0.0071,0.0000,0.0118,0.1274,0.2141,0.0000,0.0000
01/25/2023 20:55:00,0.0071,0.0000,0.0115,0.1272,0.2157,0.0000,0.0000
01/25/2023 20:56:00,0.0071,0.0000,0.0126,0.1267,0.2137,0.0000,0.0000
01/25/2023 20:57:00,0.0071,0.0000,0.0124,0.1265,0.2131,0.0000,0.0000
01/25/2023 20:58:00,0.0071,0.0000,0.0124,0.1273,0.2161,0.0000,0.0000
01/25/2023 20:59:00,0.0071,0.0000,0.0122,0.1284,0.2151,0.0000,0.0000
01/25/2023 21:00:00,0.0073,0.0000,0.0122,0.1348,0.2136,0.0000,0.0000
